category,name,website,why_relevant,suggested_angle,contact_hint,verified_via
villa_management,Cabo Bali,https://www.cabobali.com/,"Premium-luxury villa manager publishing comparison blog content (e.g. best villa management companies).","Cite the 2026 villa dining price guide in their blog; partner referral",,"search: villa management companies Bali luxury villa rental agencies"
villa_management,Bali Luxury Management,https://baliluxurymanagement.com/,"Luxury villa management company coordinating staff and guest services.","Chef staffing / referral partnership",,"search: villa management companies Bali luxury villa rental agencies"
villa_management,Ministry of Villas,https://www.ministryofvillas.com/,"Curated villa rental platform listing high-end Bali properties (e.g. Villa Latitude) to chef-hiring guests.","Villa experience add-on partner; guest post on staffed villa dining",,"search: Latitude Bali wedding venue The Ungasan official website"
wedding,The Wedding Mood,https://www.theweddingmood.com/,"Boutique high-end Bali destination wedding planner curating a small vendor circle.","Preferred catering vendor listing",,"search: theweddingmood.com OR amorabaliweddings.com"
wedding,Amora Bali Weddings,https://amorabaliweddings.com/,"Full-service Bali wedding planner (est. 2017) with deep venue and vendor network.","Preferred catering / private chef vendor listing",https://amorabaliweddings.com/about-amora-bali-weddings/,"search: theweddingmood.com OR amorabaliweddings.com"
wedding,Vara Wedding,https://www.varawedding.com/,"Destination wedding planner designing weddings across Bali's top venues.","Catering partner page; styled-shoot collaboration",,"search: best wedding planners Bali 2026"
wedding,Bali Wedding Planner (Australian Specialist),https://www.baliweddingplanner.co/,"25-year luxury Bali wedding production company serving Australian couples.","Preferred caterer listing for villa weddings",,"search: best wedding planners Bali 2026"
wedding,Bali Brides,https://www.balibrides.com.au/,"Established Australian-facing Bali wedding planning agency led by Yanti.","Vendor recommendation page; guest post on wedding catering costs",,"search: best wedding planners Bali 2026"
wedding,Tirtha Bridal,https://tirtha.com/,"Iconic Uluwatu wedding venue and planner publishing planning guides (blog on Bali wedding planners).","Venue-approved caterer mention; contribute catering cost data to blog",,"search: best wedding planners Bali 2026"
wedding,Pandawa Cliff Estate,https://www.pandawacliffestate.com/,"Four-villa 21-bedroom clifftop wedding estate hosting large villa weddings needing external catering.","Approved supplier / events page listing",https://www.pandawacliffestate.com/weddings.html,"search: Bali wedding venues villa estate weddings official site"
wedding,Villa Vedas,https://villavedasbali.com/,"Beachfront luxury wedding villa marketing gourmet catering as part of its offer.","Catering partner for weddings and events",,"search: Bali wedding venues villa estate weddings official site"
wedding,The Ungasan Clifftop Resort,https://theungasan.com/,"Uluwatu clifftop wedding resort of seven luxury villas hosting events year-round.","Vendor/caterer partnership for villa events",https://theungasan.com/weddings,"search: Latitude Bali wedding venue The Ungasan official website"
wedding,Samabe Bali Suites & Villas,https://www.samabe.com/,"Nusa Dua venue hosting weddings from 2 to 500 guests; publishes wedding content.","Event partner cross-link; cite wedding catering guide",https://www.samabe.com/en/bali-weddings/,"search: Bali wedding venues villa estate weddings official site"
retreat,The Yoga Barn,https://theyogabarn.com/,"Ubud's best-known yoga centre running retreats and teacher trainings with catering needs.","Retreat catering partner; guest post on retreat menu planning",,"search: yoga retreat centers Ubud Bali official websites"
retreat,Soulshine Bali,https://www.soulshinebali.com/,"Luxury wellness and healing retreat in Ubud hosting group retreat packages.","Private chef / plant-based catering partner page",,"search: yoga retreat centers Ubud Bali official websites"
retreat,Om Ham Retreat & Resort,https://omhamretreat.com/,"Holistic Ubud retreat resort offering yoga detox and wellness programs.","Wellness menu collaboration; catering partner listing",,"search: yoga retreat centers Ubud Bali official websites"
retreat,Gaia Retreat Center,https://www.gaiaretreatcenter.com/,"12+ year detox yoga and meditation retreat centre in Ubud rice fields.","Retreat group catering referral",,"search: yoga retreat centers Ubud Bali official websites"
retreat,Basundari,https://basundari.com/,"Eco retreat venue in Ubud hosting hire-out retreats for up to 22 guests needing external chefs.","Venue-recommended chef/catering partner page",,"search: yoga retreat centers Ubud Bali official websites"
retreat,The Shala Bali,https://www.theshalabali.com/,"Ubud yoga retreat with dedicated shala hosting international groups.","Retreat catering partner; healthy menu guest post",,"search: yoga retreat centers Ubud Bali official websites"
retreat,Bali Yoga Retreats,https://baliyogaretreats.org/,"Ubud yoga school running retreats teacher trainings and workshops.","Catering partner for trainings and retreats",,"search: yoga retreat centers Ubud Bali official websites"
retreat,The Salty Buddha,https://www.thesaltybuddha.com/,"Retreat organiser running Bali yoga retreats at partner hotels.","Retreat chef partner; food experience add-on",,"search: yoga retreat centers Ubud Bali official websites"
concierge,Bali Luxury Concierge,https://baliluxuryconcierge.com/,"VIP concierge offering airport fast-track villas and exclusive dining reservations.","Private chef partner in services lineup",https://baliluxuryconcierge.com/services/,"search: Bali concierge service lifestyle management VIP guests"
concierge,Bali Lifestyle Concierge,https://balilifestyleconcierge.com/,"Bespoke luxury concierge arranging experiences including private dining for HNW clients.","Referral partner for private chef bookings",,"search: Bali concierge service lifestyle management VIP guests"
concierge,Bali Luxe Concierge,https://baliluxeconcierge.com/,"Premium lifestyle management service for travellers valuing comfort and privacy.","Private chef / in-villa dining partner listing",,"search: Bali concierge service lifestyle management VIP guests"
concierge,Bali GTS,https://baligts.com/,"Travel relocation and VIP concierge service including expat lifestyle management.","Partner referral for relocations and VIP dining",,"search: Bali concierge service lifestyle management VIP guests"
concierge,Uma Kalai,https://www.umakalai.com/,"Ubud luxury villa brand with a dedicated lifestyle/VIP concierge arranging guest services.","Concierge chef partner for villa guests",https://www.umakalai.com/concierge,"search: Bali concierge service lifestyle management VIP guests"
media,Honeycombers Bali,https://thehoneycombers.com/bali/,"1M+ monthly readers; publishes best-of listicles (wedding planners villas dining) that link out.","Inclusion in dining/wedding listicles; cite 2026 villa dining price guide",https://thehoneycombers.com/bali/about-us/,"search: Bali expat magazine travel blog Now Bali Honeycombers Coconuts Bali"
media,NOW! Bali Magazine,https://www.nowbali.co.id/,"Bali's first lifestyle publication (since 2009) covering dining culture and island life.","Editorial feature on private dining trend; expert commentary",https://www.nowbali.co.id/about-us/,"search: NOW Bali magazine nowbali.co.id official website"
media,Coconuts Bali,https://coconuts.co/bali/,"Established English-language Bali news and features outlet read by expats.","Data-led pitch: villa dining / catering cost story",,"search: Bali expat magazine travel blog Now Bali Honeycombers Coconuts Bali"
media,The Bali Sun,https://thebalisun.com/,"Daily English Bali news site (4700+ articles since 2020) covering tourism trends for visitors and expats.","Source/expert quote for tourism dining stories; cite price guide",https://thebalisun.com/about-the-bali-sun-your-guide-to-all-things-bali/,"search: thebalisun.com Bali tourism news"
media,Bali Expat,https://baliexpat.com/,"Expat-focused portal covering life in Bali; audience hires chefs for villas and events.","Guest post on hiring a private chef in Bali",,"search: Bali expat magazine travel blog Now Bali Honeycombers Coconuts Bali"
media,Bali Discovery,https://www.balidiscovery.com/,"Long-running Bali tourism news service covering industry associations and hospitality.","Industry news mention; expert commentary on catering sector",,"search: Bali Villa Association BVA villa rental association PHRI Bali"
media,FINNS Beach Club Guides,https://finnsbeachclub.com/guides/,"High-traffic guides section publishing best-of Bali content (e.g. 25 best wedding villas).","Inclusion/citation in villa and wedding guides",,"search: Bali wedding venues villa estate weddings official site"
media,Welcome Back To Bali,https://www.welcomebacktobali.com/,"Bali information site curating official links and practical guides for visitors.","Resource-page link for private dining/catering",https://www.welcomebacktobali.com/blog/official-sites-useful-links,"search: Bali provincial tourism office official website Wonderful Indonesia"
directory_association,Bali Hotels Association,https://www.balihotelsassociation.com/,"165-member professional hospitality association with partnership/sponsorship program open to suppliers.","BHA partner/sponsor listing",https://www.balihotelsassociation.com/the-association/bha-partnership-sponsorship/bha-partnership/,"search: Bali tourism board hotel association BHA chamber of commerce"
directory_association,Bali Villa Association,https://www.balivillaassociation.com/,"Villa operators network aligned with PHRI focused on standards and destination reputation.","Associate member / supplier listing",,"search: Bali Villa Association BVA villa rental association PHRI Bali"
directory_association,Bali Villa Rental and Management Association (BVRMA),https://bvrma.org/,"Official association (est. 2024) representing Bali's villa rental and management industry.","Industry partner listing; contribute guest-services content",,"search: Bali Villa Association BVA villa rental association PHRI Bali"
directory_association,PHRI Bali,https://phribali.or.id/,"Bali chapter of the Indonesian Hotel and Restaurant Association; legitimate industry body.","Membership as catering/restaurant business",,"search: Bali Villa Association BVA villa rental association PHRI Bali"
directory_association,Junebug Weddings,https://junebugweddings.com/,"Respected international wedding vendor directory with a Bali planners section.","Paid/earned vendor directory listing (catering)",,"search: best wedding planners Bali 2026"
directory_association,WedSetter,https://www.wedsetter.com/,"Bali wedding directory and planning guide listing local vendors.","Vendor directory listing for wedding catering",,"search: best wedding planners Bali 2026"
directory_association,Bali Wedding Directory,https://www.baliweddingdirectory.com/,"Local wedding directory publishing venue/vendor articles in ID and EN.","Vendor listing; venue-article catering mentions",,"search: Latitude Bali wedding venue The Ungasan official website"
